stn_name,stn_num,stn_id,lat,lng
清水,74516,a1243,32.7217,133.01
富士山,50066,s47639,35.36,138.7267
静岡空港,50477,a1601,34.795,138.1883
横浜,46106,s47670,35.4383,139.6517
東京,44132,s47662,35.6917,139.75
羽田,44166,a0371,35.5533,139.78
大島,44172,s47675,34.7483,139.3617
三宅島,44226,s47677,34.1233,139.52
八丈島,44263,s47678,33.1217,139.7783
新島,44207,a1522,34.3683,139.2683
父島,44301,s47971,27.0917,142.19
大島北ノ山,44173,a1467,34.7817,139.36
八重見ヶ原,44262,a1468,33.115,139.785
神津島,44216,a1523,34.1883,139.1333
三宅坪田,44228,a1506,34.0733,139.56
南鳥島,44356,s47991,24.2883,153.9833
成田,45121,a0378,35.7633,140.385
銚子,45147,s47648,35.7383,140.8567
千葉,45212,s47682,35.6017,140.1033
勝浦,45371,s47674,35.15,140.3117
館山,45401,s47672,34.9867,139.865
熊本,86141,s47819,32.8133,130.7067
人吉,86467,s47824,32.2167,130.755
牛深,86491,s47838,32.1967,130.0267
益城,86146,a0923,32.8367,130.855
武蔵,83126,a0796,33.4783,131.7367
伏木,55091,a0797,36.7917,137.055
日田,83137,s47814,33.3217,130.9283
大分,83216,s47815,33.235,131.6183
玉川,36581,a0733,37.2267,140.4267
松山,73166,s47887,33.8433,132.7767
宇和島,73442,s47892,33.2267,132.5517
松山南吉田,73168,a1521,33.8267,132.6983
高松,72086,s47891,34.3183,134.0533
多度津,72111,s47890,34.275,133.7517
香南,72126,a1475,34.2133,134.015
和歌山,65042,s47777,34.2283,135.1633
潮岬,65356,s47778,33.45,135.7567
清水,74516,a1063,32.7217,133.01
南紀白浜,65288,a1589,33.6617,135.3633
阿久根,88061,s47823,32.0267,130.2
溝辺,88166,a0881,31.8033,130.7183
鹿児島,88317,s47827,31.555,130.5467
枕崎,88466,s47831,31.2717,130.2917
種子島,88612,s47837,30.72,130.9817
中種子,88621,a0897,30.605,130.9917
名瀬,88836,s47909,28.3783,129.495
屋久島,88686,s47836,30.385,130.6583
沖永良部,88971,s47942,27.4317,128.705
与論島,88986,a1277,27.0433,128.4017
喜界島,88851,a1296,28.32,129.9267
笠利,88821,a1520,28.43,129.7117
天城,88931,a1542,27.835,128.88
延岡,87141,s47822,32.5817,131.6567
宮崎,87376,s47830,31.9383,131.4133
都城,87426,s47829,31.73,131.0817
油津,87492,s47835,31.5783,131.4067
赤江,87412,a1481,31.8767,131.4483
高知,74181,s47893,33.5667,133.5483
室戸岬,74372,s47899,33.2517,134.1767
宿毛,74447,s47897,32.92,132.695
清水,74516,s47898,32.7217,133.01
佐賀,85142,a1233,33.265,130.305
南国日章,74188,a1476,33.545,133.6683
徳島,71106,s47895,34.0667,134.5733
名護,91107,s47940,26.5933,127.965
那覇,91197,s47936,26.2067,127.6867
石垣島,94081,s47918,24.3367,124.1633
宮古島,93041,s47927,24.7933,125.2783
久米島,91146,s47929,26.3367,126.8033
西表島,94062,s47917,24.4267,123.765
与那国島,94017,s47912,24.4667,123.01
安次嶺,91236,a1482,26.1933,127.6383
鏡原,93042,a1483,24.7817,125.295
下地島,93012,a1490,24.8267,125.1433
仲筋,93062,a1491,24.6533,124.675
所野,94011,a1493,24.4667,122.9783
北大東,92006,a1517,25.9433,131.3267
旧東,92012,a1518,25.8467,131.2633
北原,91141,a1534,26.3633,126.7133
盛山,94086,a1639,24.395,124.245
